pitcher,stand,hr,bbe,barrels,pull_air,air_ev,name,bats,pa,barrel_rate,pull_air_rate,bbe_per_pa,xhr_pa_raw,talent_hr_pa,regression_w
641401,L,2,21,3,4,94.16153846153846,"Raley, Luke",L,29,0.14285714285714285,0.19047619047619047,0.7241379310344828,0.0619655172413793,0.03384979611691259,0.104
641585,L,0,13,2,2,93.58333333333333,"Naylor, Josh",L,22,0.15384615384615385,0.15384615384615385,0.5909090909090909,0.05390909090909092,0.032141716783671746,0.067
641656,L,0,8,0,2,100.425,"Abrams, CJ",L,10,0.0,0.25,0.8,0.0036,0.029421984879949282,0.043
641743,L,2,82,2,19,89.3404761904762,"Turang, Brice",L,134,0.024390243902439025,0.23170731707317074,0.6119402985074627,0.011134328358208954,0.02448682474352519,0.313
641745,L,1,41,0,4,88.78095238095239,"Ruiz, Keibert",L,66,0.0,0.0975609756097561,0.6212121212121212,0.0010909090909090907,0.025100725928315557,0.186
641755,L,7,47,4,15,93.77142857142857,"Caglianone, Jac",L,78,0.0851063829787234,0.3191489361702128,0.6025641025641025,0.03294871794871795,0.03106221542299651,0.207
641778,L,4,51,3,7,88.95483870967742,"Kurtz, Nick",L,80,0.058823529411764705,0.13725490196078433,0.6375,0.0231375,0.02892876907978556,0.221
641793,L,18,199,25,35,94.75897435897436,"Marsh, Brandon",L,257,0.12562814070351758,0.17587939698492464,0.77431906614786,0.0583852140077821,0.045174645765116365,0.525
641816,L,7,139,7,21,91.82142857142857,"McMahon, Ryan",L,212,0.050359712230215826,0.1510791366906475,0.6556603773584906,0.0207688679245283,0.02629907773962351,0.436
641835,L,2,69,4,4,93.61578947368422,"Nimmo, Brandon",L,94,0.057971014492753624,0.057971014492753624,0.7340425531914894,0.025234042553191487,0.02909109274538425,0.277
641927,L,11,167,20,28,93.64886363636364,"Beavers, Dylan",L,212,0.11976047904191617,0.16766467065868262,0.7877358490566038,0.05662264150943396,0.043108110344397516,0.481
641941,L,4,33,5,5,95.675,"Yoshida, Masataka",L,56,0.15151515151515152,0.15151515151515152,0.5892857142857143,0.05294642857142857,0.034036456808862005,0.155
642048,L,0,4,1,0,103.1,"Baty, Brett",L,8,0.25,0.0,0.5,0.071875,0.03146757150777427,0.022
642100,L,0,36,1,3,90.95833333333333,"Manzardo, Kyle",L,56,0.027777777777777776,0.08333333333333333,0.6428571428571429,0.011232142857142857,0.02734671435318337,0.167
642121,L,0,78,6,13,92.33421052631579,"Burleson, Alec",L,115,0.07692307692307693,0.16666666666666666,0.6782608695652174,0.032034782608695654,0.03101258217406483,0.302
642152,L,1,12,1,5,95.81428571428572,"Domínguez, Jasson",L,21,0.08333333333333333,0.4166666666666667,0.5714285714285714,0.03166666666666666,0.03063819352828367,0.062
